Epoch: [0][0/1000]	Time 0.928 (0.928)	Data 0.207 (0.207)	Loss 6.2966 (6.2966)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)	
Epoch: [0][50/1000]	Time 0.863 (0.717)	Data 0.024 (0.018)	Loss 5.3763 (5.7165)	Prec@1 0.000 (0.373)	Prec@5 2.000 (2.039)	
Epoch: [0][100/1000]	Time 0.584 (0.708)	Data 0.014 (0.017)	Loss 5.2774 (5.5312)	Prec@1 4.000 (0.525)	Prec@5 6.000 (2.535)	
Epoch: [0][150/1000]	Time 0.638 (0.705)	Data 0.011 (0.016)	Loss 5.2949 (5.4595)	Prec@1 1.000 (0.603)	Prec@5 3.000 (2.623)	
Epoch: [0][200/1000]	Time 0.655 (0.698)	Data 0.011 (0.015)	Loss 5.2770 (5.4203)	Prec@1 3.000 (0.607)	Prec@5 5.000 (2.622)	
Epoch: [0][250/1000]	Time 0.821 (0.699)	Data 0.017 (0.015)	Loss 5.2924 (5.3951)	Prec@1 3.000 (0.661)	Prec@5 4.000 (2.769)	
Epoch: [0][300/1000]	Time 0.822 (0.695)	Data 0.002 (0.015)	Loss 5.3056 (5.3792)	Prec@1 0.000 (0.671)	Prec@5 5.000 (2.877)	
Epoch: [0][350/1000]	Time 0.734 (0.698)	Data 0.014 (0.015)	Loss 5.2614 (5.3664)	Prec@1 0.000 (0.701)	Prec@5 4.000 (3.014)	
Epoch: [0][400/1000]	Time 0.633 (0.697)	Data 0.011 (0.018)	Loss 5.2898 (5.3564)	Prec@1 3.000 (0.716)	Prec@5 5.000 (3.097)	
Epoch: [0][450/1000]	Time 0.767 (0.695)	Data 0.007 (0.017)	Loss 5.2658 (5.3477)	Prec@1 1.000 (0.729)	Prec@5 6.000 (3.157)	
